lncRNA	Chromosome	Start	End
LINC02560	chr19	58400221	58400679
LINC02561	chr10	5266033	5271236
LINC02562	chr4	75081702	75084717
LINC02563	chr17	65457541	65458408
LINC02564	chr18	11103	16352
LINC02565	chr18	57169615	57171194
LINC02567	chr1	76758124	76779267
LINC02568	chr15	63390136	63438320
LINC02569	chr6	30516266	30519217
LINC02570	chr6	30839526	30848159
LINC02571	chr6	31293908	31301642
LINC02572	chr2	129825126	129877664
LINC02573	chr21	20256752	20258820
LINC02574	chr1	27660328	27662722
LINC02575	chr21	44485577	44490288
LINC02576	chr2	65030727	65053017
LINC02577	chr7	106774955	106838480
LINC02578	chr9	118740563	118745312
LINC02579	chr2	64606975	64616556
LINC02580	chr2	43092530	43132482
LINC02582	chr18	73324941	73349879
LINC02583	chr2	46429190	46441833
LINC02584	chr11	70072434	70075433
LINC02585	chr3	48663776	48669174
LINC02586	chr1	110208834	110209987
LINC02587	chr7	15688378	15696886
LINC02588	chr14	26598369	26806467
LINC02590	chr2	43041193	43043782
LINC02591	chr1	143790010	143797108
LINC02593	chr1	916865	921016
LINC02594	chr17	43679341	43706709
LINC02595	chrX	45847042	45851541
LINC02596	chr1	21586472	21591187
LINC02598	chr12	10358464	10361045
LINC02599	chr8	48590401	48594621
LINC02600	chr4	3758748	3763390
LINC02601	chrX	41275739	41276778
LINC02603	chr9	94176492	94259545
LINC02604	chr7	66902857	66906297
LINC02605	chr8	78835307	78840525
LINC02606	chr1	9425094	9440564
LINC02607	chr1	95510059	95782342
LINC02608	chr1	212225278	212238977
LINC02609	chr1	90769086	90851658
LINC02610	chr2	238224552	238231699
LINC02611	chr2	98761098	98775361
LINC02612	chr2	150612381	150635818
LINC02613	chr2	38406527	38515934
LINC02614	chr3	125827238	125916384
LINC02615	chr4	128292751	128519398
LINC02616	chr4	37001772	37023499
LINC02617	chr12	10332861	10338292
LINC02619	chr4	58939288	58988182
LINC02620	chr10	104474939	104480274
LINC02621	chr10	62289521	62304033
LINC02622	chr10	70939036	70955947
LINC02623	chr10	42871521	42874060
LINC02624	chr10	106140143	106188722
LINC02625	chr10	61781745	61821246
LINC02626	chr10	114994657	114996593
LINC02627	chr10	105808225	105820349
LINC02628	chr10	33578931	33600040
LINC02629	chr10	33909238	33917804
LINC02630	chr10	35896874	35898963
LINC02631	chr2	138601599	138617469
LINC02632	chr10	42696012	42706453
LINC02633	chr10	43323665	43327932
LINC02634	chr10	35219894	35230598
LINC02635	chr10	34969881	34975578
LINC02636	chr10	69994276	70019496
LINC02637	chr10	46632387	46635472
LINC02639	chr10	3833950	3834728
LINC02640	chr10	68233251	68242379
LINC02641	chr10	123356450	123537767
LINC02642	chr10	7444340	7472040
LINC02643	chr10	21340233	21372950
LINC02644	chr10	30723251	30723740
LINC02645	chr10	2368561	2502200
LINC02646	chr10	130213488	130483193
LINC02647	chr10	85378327	85432775
LINC02648	chr10	6618716	6625346
LINC02649	chr10	6271169	6353827
LINC02650	chr10	83672406	83677122
LINC02651	chr10	69684899	69692452
LINC02652	chr10	28433008	28495813
LINC02653	chr10	90402521	90628852
LINC02654	chr10	16276871	16295858
LINC02655	chr10	80649797	80653732
LINC02656	chr10	6350316	6352762
LINC02657	chr10	5594984	5632435
LINC02658	chr10	43777562	43778825
LINC02659	chr10	43900874	43912369
LINC02660	chr10	3911889	3935817
LINC02661	chr10	108708539	108840686
LINC02662	chr10	2169140	2189512
LINC02663	chr10	9758783	9878060
LINC02664	chr10	31187715	31261910
LINC02665	chr10	7096216	7097675
LINC02666	chr10	129784983	129806971
LINC02667	chr10	128912810	128916429
LINC02668	chr10	3232264	3277649
LINC02669	chr10	3433508	3502915
LINC02670	chr10	10058722	10063502
LINC02671	chr10	64901136	65017639
LINC02672	chr10	52972612	53030024
LINC02673	chr10	27343436	27344917
LINC02674	chr10	117734510	117753329
LINC02675	chr10	47588681	47619480
LINC02676	chr10	8897989	8914596
LINC02677	chr10	5616626	5632499
LINC02678	chr10	5608475	5610793
LINC02679	chr10	79628757	79632188
LINC02680	chr10	27564430	27594588
LINC02681	chr10	101252821	101263550
LINC02682	chr11	15910528	15930951
LINC02683	chr11	13921450	13924863
LINC02684	chr11	135061781	135075908
LINC02685	chr11	44973770	44978028
LINC02686	chr11	24235477	24262218
LINC02687	chr11	45371397	45388511
LINC02688	chr11	1049880	1055749
LINC02689	chr11	1350359	1364286
LINC02690	chr11	45749454	45752279
LINC02691	chr14	104223584	104288069
LINC02692	chr9	136969243	136971990
LINC02693	chr17	21428263	21574517
LINC02694	chr15	38628005	39180499
LINC02695	chr11	86192787	86193482
LINC02696	chr11	45355371	45367490
LINC02697	chr11	134950708	134951568
LINC02698	chr11	115659658	115843146
LINC02699	chr11	25734757	25782017
LINC02700	chr11	94638045	94652884
LINC02701	chr11	68870664	68874542
LINC02702	chr11	116639422	116658295
LINC02703	chr11	115920248	115943181
LINC02704	chr11	44694863	44696301
LINC02705	chr11	60159687	60160822
LINC02706	chr11	134712539	134716250
LINC02707	chr11	34570876	34573982
LINC02708	chr11	1688297	1689056
LINC02709	chr11	9754770	9759533
LINC02710	chr11	46213150	46220438
LINC02711	chr11	87718354	87719411
LINC02712	chr11	127271029	127337033
LINC02713	chr11	97878475	97959558
LINC02714	chr11	134735596	134763810
LINC02715	chr11	109741625	109823893
LINC02716	chr11	45771432	45772358
LINC02717	chr11	134994982	135007779
LINC02718	chr11	23154683	23203161
LINC02719	chr11	106112459	106132116
LINC02720	chr11	80751200	80762826
LINC02721	chr11	33813873	33822378
LINC02722	chr11	33804768	33805641
LINC02723	chr11	64394342	64395831
LINC02724	chr11	64449074	64451657
LINC02725	chr11	128095758	128183671
LINC02726	chr11	23730588	23796970
LINC02727	chr11	123313657	123315340
LINC02728	chr11	78423982	78429836
LINC02729	chr11	17695266	17696994
LINC02730	chr11	134008215	134030167
LINC02731	chr11	134032216	134067936
LINC02732	chr11	110355130	110407613
LINC02733	chr11	62049863	62082184
LINC02734	chr11	82781502	82817741
LINC02735	chr11	56848478	56878078
LINC02736	chr11	65487241	65488714
LINC02737	chr11	96508425	96514748
LINC02739	chr11	59560298	59566283
LINC02740	chr11	42183292	42253721
LINC02741	chr11	41518895	41714492
LINC02742	chr11	28702607	29064322
LINC02743	chr11	133783671	133810376
LINC02744	chr11	119987952	119995037
LINC02745	chr11	41993381	42163851
LINC02746	chr11	92913227	92915644
LINC02747	chr11	69475567	69481545
LINC02748	chr11	91157994	91234388
LINC02749	chr11	4179675	4202663
LINC02750	chr11	50298579	50304656
LINC02751	chr11	15552855	15604169
LINC02752	chr11	11020883	11183611
LINC02753	chr11	70056230	70065371
LINC02754	chr11	67886477	67906350
LINC02755	chr11	29335878	29989328
LINC02756	chr11	91794319	91872086
LINC02757	chr11	76607853	76630465
LINC02758	chr11	28679183	28683469
LINC02759	chr11	38618264	38646384
LINC02760	chr11	37938601	37954663
LINC02761	chr11	76210956	76216025
LINC02762	chr11	112270749	112362534
LINC02763	chr11	112393118	112624567
LINC02764	chr11	112534220	112555802
LINC02765	chr1	225447233	225465400
LINC02766	chr1	12527724	12528420
LINC02767	chr1	207959292	207969329
LINC02768	chr1	235957879	235971825
LINC02769	chr1	208626741	208628085
LINC02770	chr1	191823432	192011260
LINC02771	chr1	212466699	212472905
LINC02772	chr1	157273760	157283968
LINC02773	chr1	212653305	212665638
LINC02774	chr1	243917402	244047317
LINC02775	chr1	214051194	214187773
LINC02776	chr1	174022509	174022985
LINC02777	chr1	58882868	58931897
LINC02778	chr1	60114875	60149784
LINC02779	chr1	220485104	220487558
LINC02780	chr1	3976133	4012704
LINC02781	chr1	4973381	4981568
LINC02782	chr1	5086459	5090899
LINC02783	chr1	17189783	17197617
LINC02784	chr1	54516412	54517259
LINC02785	chr1	108040263	108076020
LINC02786	chr1	38129464	38140593
LINC02787	chr1	90510910	90533472
LINC02788	chr1	90835660	90849472
LINC02789	chr1	199148598	199393307
LINC02790	chr1	95937901	96022890
LINC02791	chr1	69215835	69249477
LINC02792	chr1	79325008	79346445
LINC02793	chr1	25041136	25047404
LINC02794	chr1	48050659	48091736
LINC02795	chr1	86288704	86320711
LINC02796	chr1	72765031	72791282
LINC02797	chr1	72793104	72854475
LINC02798	chr1	121396754	121463508
LINC02799	chr1	143499187	143500512
LINC02800	chr1	24200240	24211693
LINC02801	chr1	87212669	87264741
LINC02802	chr1	144227029	144250326
LINC02803	chr1	175904762	175921057
LINC02804	chr1	148013203	148025934
LINC02805	chr1	148156139	148186980
LINC02806	chr1	148295180	148297556
LINC02808	chr1	50229662	50321192
LINC02809	chr1	228073909	228076550
LINC02810	chr1	17717625	17749978
LINC02811	chr1	39801414	39817460
LINC02812	chr1	53366656	53368245
LINC02813	chr1	224766324	224779335
LINC02814	chr1	229087114	229205428
LINC02815	chr1	229022773	229038274
LINC02816	chr1	180906651	180909166
LINC02817	chr1	221330080	221336489
LINC02818	chr1	179829609	179836124
LINC02819	chr1	159466321	159483376
LINC02820	chr12	85318060	85342912
LINC02821	chr12	70180338	70202004
LINC02822	chr12	90576402	90889917
LINC02823	chr12	91327045	91368607
LINC02824	chr12	126688341	126720333
LINC02825	chr12	126400792	126405528
LINC02826	chr12	125983702	126043485
LINC02827	chr12	3318718	3325343
LINC02828	chr6	24721658	24751960
LINC02829	chr6	29497475	29510558
LINC02830	chr7	125151326	125153611
LINC02831	chr2	67562067	67620545
LINC02832	chr2	219685381	219737937
LINC02833	chr14	92886352	92893508
LINC02834	chr9	86669349	86708307
LINC02835	chr4	65225867	65241814
LINC02836	chr6	105612667	105632296
LINC02837	chr18	49499390	49501860
LINC02838	chr7	48708327	48711582
LINC02839	chr8	82098451	82160577
LINC02840	chr6	152754903	152875991
LINC02841	chr19	31520155	31554803
LINC02842	chr8	61785047	61944180
LINC02843	chr9	88627063	88652180
LINC02844	chr8	101261541	101262903
LINC02845	chr8	101387299	101393255
LINC02846	chr9	136107808	136109424
LINC02847	chr8	48597458	48621018
LINC02848	chr7	63900313	63925202
LINC02849	chr8	85851446	85861562
LINC02850	chr2	20859771	20861661
LINC02851	chr9	6704270	6707780
LINC02852	chr15	94583506	94589259
LINC02853	chr15	35919892	36049537
LINC02854	chr7	53926676	53947804
LINC02855	chr8	121668934	121697600
LINC02856	chr18	9646110	9648502
LINC02857	chr6	84019204	84026100
LINC02858	chr16	19334011	19337804
LINC02860	chr7	26637871	26647305
LINC02861	chr16	3930806	3950586
LINC02862	chr2	215274992	215277947
LINC02863	chr5	132419416	132426714
LINC02864	chr18	73151241	73264480
LINC02865	chr6	137945366	137972522
LINC2194	chr16	24236104	24252863
LINCADL	chr5	115956571	115958599
LINCMD1	chr6	52146814	52151119
LINC-PINT	chr7	130938963	131110176
LINC-ROR	chr18	57054558	57072119
LINGO1-AS1	chr15	77641764	77652292
LINGO1-AS2	chr15	77660052	77668074
LINP1	chr10	6709530	6740532
LIPC-AS1	chr15	58434890	58498735
LIPE-AS1	chr19	42397128	42652355
LIVAR	chr18	70335929	70337310
LIX1-AS1	chr5	97089075	97437217
LIX1L-AS1	chr1	145926590	145959179
LLPH-DT	chr12	66130751	66134449
LMCD1-AS1	chr3	7951263	8611924
LMF1-AS1	chr16	921033	934495
LMLN-AS1	chr3	198038321	198039234
LMNB1-DT	chr5	126751963	126776486
LMNTD2-AS1	chr11	557595	560107
LMO7-AS1	chr13	75604700	75635994
LMO7DN	chr13	75871038	75883811
LMO7DN-IT1	chr13	75876886	75881127
LMX1A-AS1	chr1	165215951	165219104
LMX1A-AS2	chr1	165210627	165213090
LNCAROD	chr10	52450874	52755507
LNCARSR	chr9	79505804	79567802
LNC-LBCS	chr6	19323428	19839080
LNCNEF	chr20	22587522	22607517
LNCOC1	chr8	142701857	142727016
LNCOG	chr12	76259836	76305969
LNCPRESS1	chr7	101299578	101301346
LNCPRESS2	chr4	92268767	92277075
LNCSRLR	chr3	146066344	146069185
LNCTAM34A	chr1	9182004	9196284
LNX1-AS1	chr4	53496400	53549578
LNX1-AS2	chr4	53592956	53604047
LOH12CR2	chr12	12355406	12357067
LOXL1-AS1	chr15	73908071	73928248
LPGAT1-AS1	chr1	211829636	211853703
LPP-AS1	chr3	188562238	188568666
LPP-AS2	chr3	188151206	188154057
LRIG2-DT	chr1	113011687	113073113
LRP1-AS	chr12	57144620	57147619
LRP4-AS1	chr11	46846412	46874421
LRRC2-AS1	chr3	46557398	46559694
LRRC3-DT	chr21	44450986	44455284
LRRC52-AS1	chr1	165476838	165582155
LRRC7-AS1	chr1	70013982	70031222
LRRC8C-DT	chr1	89581291	89632916
LRRK2-DT	chr12	40186009	40224915
LRRTM4-AS1	chr2	76985965	77009791
LSAMP-AS1	chr3	116360024	116370090
LSINCT5	chr5	2712591	2715237
LUADT1	chr6	147158925	147180992
LUARIS	chr7	43508728	43522542
LUCAT1	chr5	91054834	91314547
LUNAR1	chr15	99014526	99031054
LURAP1L-AS1	chr9	12698554	12814377
LY6E-DT	chr8	142981738	143018437
LY86-AS1	chr6	6346465	6622771
LYPLAL1-AS1	chr1	219409039	219459369
LYPLAL1-DT	chr1	218983023	219173961
LYST-AS1	chr1	235839483	235840182
LZTS1-AS1	chr8	20275773	20290458
MACC1-AS1	chr7	20141916	20153531
MACORIS	chr10	31693084	31707388
MACROD2-AS1	chr20	14884250	14929528
MACROD2-IT1	chr20	14554384	14636524
MADD-AS1	chr11	47270657	47272110
MAFA-AS1	chr8	143417679	143419150
MAFG-DT	chr17	81927829	81930753
MAFTRR	chr16	79715220	79770651
MAGEA10-MAGEA5	chrX	152114994	152138556
MAGEA4-AS1	chrX	151904431	151913968
MAGEA8-AS1	chrX	149878836	149881070
MAGI1-AS1	chr3	65893816	65925297
MAGI1-IT1	chr3	65872815	65954558
MAGI2-AS1	chr7	78939850	78940895
MAGI2-AS2	chr7	79008988	79012277
MAGI2-AS3	chr7	79452877	79471208
MAL2-AS1	chr8	119214625	119246848
MALAT1	chr11	65497688	65506516
MALINC1	chr5	140071312	140109274
MAMDC2-AS1	chr9	70033921	70175888
MAN1B1-DT	chr9	137084946	137086817
MANCR	chr10	4650158	4678185
MANEA-DT	chr6	95575183	95577450
MAP3K14-AS1	chr17	45247916	45269824
MAP3K20-AS1	chr2	173166446	173282036
MAP3K2-DT	chr2	127388184	127400580
MAP3K5-AS1	chr6	136629066	136648198
MAP4K3-DT	chr2	39436530	39665343
MAPK10-AS1	chr4	86117912	86219926
MAPK6-DT	chr15	52010999	52019095
MAPKAPK5-AS1	chr12	111839764	111842902
MAPRE3-AS1	chr2	26984776	27014612
MAPT-AS1	chr17	45799390	45895680
MAPT-IT1	chr17	45895783	45898798
MARCH11-AS1	chr5	16129178	16141602
MARCHF10-DT	chr17	62808500	62836371
MAST4-AS1	chr5	67001383	67003953
MAST4-IT1	chr5	66662331	66662988
MATN1-AS1	chr1	30718504	30726827
MBNL1-AS1	chr3	152245262	152269557
MCCC1-AS1	chr3	183016255	183017808
MCF2L-AS1	chr13	112967484	112968824
MCHR2-AS1	chr6	99993934	100107613
MCM3AP-AS1	chr21	46229196	46259390
MCM8-AS1	chr20	5990943	6005821
MCPH1-AS1	chr8	6617310	6708224
MCTP1-AS1	chr5	94979151	94980893
MDC1-AS1	chr6	30703067	30713184
MDS2	chr1	23581495	23640568
MECOM-AS1	chr3	169447867	169477052
MED14OS	chrX	40735400	40738701
MED4-AS1	chr13	48077137	48079991
MED8-AS1	chr1	43385113	43389155
MEF2C-AS1	chr5	88883328	89466398
MEF2C-AS2	chr5	88676033	88779088
MEG3	chr14	100779410	100861031
MEG8	chr14	100894770	101038859
MEG9	chr14	101068283	101072937
MEIS1-AS2	chr2	66439088	66444221
MEIS1-AS3	chr2	66426735	66433470
MELTF-AS1	chr3	196999460	197004744
MESTIT1	chr7	130486042	130491033
METTL14-DT	chr4	118664087	118685343
MFF-DT	chr2	227221052	227325711
MGAT3-AS1	chr22	39475807	39476822
MHENCR	chr20	63627227	63628824
MIAT	chr22	26646411	26676475
MIATNB	chr22	26672747	26780893
MID1IP1-AS1	chrX	38801568	38803883
MIF-AS1	chr22	23894426	23898930
MIMT1	chr19	56840866	56848556
MINCR	chr8	143280161	143281690
MIR100HG	chr11	122028325	122556721
MIR1-1HG	chr20	62550453	62570764
MIR1-1HG-AS1	chr20	62544343	62551526
MIR122HG	chr18	58445788	58453766
MIR124-2HG	chr8	64373151	64383787
MIR1302-2HG	chr1	29554	31109
MIR133A1HG	chr18	21825487	21831539
MIR137HG	chr1	97933474	98049863
MIR155HG	chr21	25561909	25575168
MIR17HG	chr13	91347820	91354579
MIR181A1HG	chr1	198777861	198937471
MIR181A2HG	chr9	124658467	124698631
MIR1915HG	chr10	21492658	21497260
MIR193BHG	chr16	14301389	14331067
MIR194-2HG	chr11	64889560	64893449
MIR200CHG	chr12	6963246	6964447
MIR202HG	chr10	133246478	133247891
MIR2052HG	chr8	74599775	74823313
MIR205HG	chr1	209428817	209432838
MIR210HG	chr11	565660	568457
MIR2117HG	chr17	43444707	43451200
MIR217HG	chr2	55963191	56047326
MIR222HG	chrX	45745211	45770274
MIR22HG	chr17	1711493	1717174
MIR29B2CHG	chr1	207801518	207879115
MIR302CHG	chr4	112646476	112650051
MIR3142HG	chr5	160438594	160487426
MIR3150BHG	chr8	95066808	95073182
MIR31HG	chr9	21453802	21559900
MIR34AHG	chr1	9148011	9198906
MIR3659HG	chr1	38047314	38119025
MIR3663HG	chr10	117144564	117169108
MIR3681HG	chr2	11833926	12702913
MIR378D2HG	chr8	93915734	93916682
MIR381HG	chr14	101045157	101051795
MIR3936HG	chr5	132311285	132370170
MIR3945HG	chr4	184844554	184855751
MIR3976HG	chr18	5721812	5876328
MIR4290HG	chr9	90020654	90041499
MIR4300HG	chr11	81821272	82718299
MIR4307HG	chr14	26873092	26918594
MIR4422HG	chr1	55217645	55324691
MIR4435-2HG	chr2	111006015	111523376
MIR4453HG	chr4	152536264	152539263
MIR4458HG	chr5	8450701	8486930
MIR4500HG	chr13	87427214	87674235
MIR4527HG	chr18	47285725	47594550
MIR4713HG	chr15	51037488	51293912
MIR497HG	chr17	7015818	7019659
MIR503HG	chrX	134543119	134546642
MIR548A1HG	chr6	18522735	18674001
MIR548XHG	chr21	18561265	18760320
MIR5689HG	chr6	10434316	10456781
MIR583HG	chr5	96050115	96215519
MIR600HG	chr9	123109494	123115477
MIR646HG	chr20	60087826	60653784
MIR663AHG	chr20	26167817	26251546
MIR670HG	chr11	43569306	43570395
MIR7-3HG	chr19	4769031	4785077
MIR7515HG	chr2	6615389	6651104
MIR762HG	chr16	30875222	30895220
MIR924HG	chr18	39206917	39800322
MIR9-3HG	chr15	89361579	89398487
MIR99AHG	chr21	15928296	16645467
MIRLET7A1HG	chr9	94166258	94200902
MIRLET7BHG	chr22	46053869	46113928
MIS18A-AS1	chr21	32277863	32280988
MKLN1-AS	chr7	131309469	131328312
MKNK1-AS1	chr1	46538611	46570255
MKX-AS1	chr10	27744786	27767794
MLIP-AS1	chr6	53978549	54079726
MLIP-IT1	chr6	53998890	54007152
MMADHC-DT	chr2	149587196	150047447
MME-AS1	chr3	155158370	155183285
MMEL1-AS1	chr1	2632568	2636620
MMP25-AS1	chr16	3037400	3059370
MMP2-AS1	chr16	55426797	55462297
MNX1-AS1	chr7	157010805	157016426
MNX1-AS2	chr7	157006307	157007132
MORC1-AS1	chr3	109101456	109110342
MORC2-AS1	chr22	30922308	30932449
MORF4L2-AS1	chrX	103687284	103691772
MPP7-DT	chr10	28303300	28307658
MPPED2-AS1	chr11	30584130	30632583
MPRIP-AS1	chr17	17076038	17077752
MRAP-AS1	chr21	32306464	32308737
MRGPRF-AS1	chr11	69012283	69018447
MRGPRG-AS1	chr11	3218332	3223131
MROCKI	chr6	113868013	113873351
MRPL20-AS1	chr1	1399520	1402046
MRPL23-AS1	chr11	1983237	1989920
MRPS30-DT	chr5	44742420	44808777
MRPS9-AS1	chr2	105092368	105103036
MRPS9-AS2	chr2	104936241	105038496
MRTFA-AS1	chr22	40521800	40526707
MRVI1-AS1	chr11	10541258	10599936
MSC-AS1	chr8	71828167	72118393
MSH2-OT1	chr2	47527008	47535199
MTOR-AS1	chr1	11143898	11149537
MTUS2-AS1	chr13	29476515	29490105
MTUS2-AS2	chr13	29239379	29250554
MUC12-AS1	chr7	101014320	101017608
MUC20-OT1	chr3	195658062	195739964
MUC5B-AS1	chr11	1242261	1249676
MYADM-AS1	chr19	53854581	53869107
MYB-AS1	chr6	135195083	135195995
MYCBP2-AS1	chr13	77026767	77129717
MYCBP2-AS2	chr13	77080511	77081190
MYCL-AS1	chr1	39897745	39899098
MYCNOS	chr2	15918350	15942249
MYCNUT	chr2	15920399	15936017
MYHAS	chr17	10383144	10623886
MYLK-AS1	chr3	123585300	123644568
MYLK-AS2	chr3	123689644	123692407
MYO16-AS1	chr13	109163902	109201483
MYO16-AS2	chr13	109101261	109101919
MYO18B-AS1	chr22	25876854	25903247
MYO3B-AS1	chr2	170332085	170408564
MYOCD-AS1	chr17	12671862	12706135
MYOM3-AS1	chr1	24066774	24083565
MYOSLID	chr2	207166120	207248668
MYRF-AS1	chr11	61746493	61757655
MYT1L-AS1	chr2	2319232	2327110
MZF1-AS1	chr19	58559129	58574797
N4BP2L2-IT2	chr13	32504506	32509395
NAALADL2-AS1	chr3	175773145	175776333
NAALADL2-AS2	chr3	175234861	175271096
NAALADL2-AS3	chr3	175079307	175115242
NADK2-AS1	chr5	36221055	36221902
NAGPA-AS1	chr16	5010909	5043999
NALCN-AS1	chr13	100708325	101059286
NALT1	chr9	136546212	136549893
NAMA	chr9	99355337	99377240
NANOGP11	chr6	152545930	152546984
NAPA-AS1	chr19	47484282	47501597
NARF-AS1	chr17	82476597	82477924
NARF-IT1	chr17	82482098	82483388
NAV2-AS1	chr11	20119684	20120632
NAV2-AS2	chr11	20043846	20049303
NAV2-AS3	chr11	19978699	19981337
NAV2-AS4	chr11	19510890	19519896
NAV2-AS5	chr11	19502672	19507229
NAV2-IT1	chr11	19380484	19385014
NBAT1	chr6	22133205	22147193
NBR2	chr17	43125551	43153671
NCAM1-AS1	chr11	113265137	113274032
NCBP2-AS1	chr3	196939877	196942534
NCF4-AS1	chr22	36847372	36870441
NCK1-DT	chr3	136835345	136862618
NCKAP5-AS1	chr2	132915557	132931494
NCKAP5-AS2	chr2	133264968	133285445
NCKAP5-IT1	chr2	133431666	133433897
NCMAP-DT	chr1	24538802	24556024
NCOA7-AS1	chr6	125797856	125818858
NDFIP2-AS1	chr13	79477364	79481231
NDP-AS1	chrX	43949732	43971582
NDST1-AS1	chr5	150475531	150485968
NDUFA6-DT	chr22	42090931	42137742
NDUFB2-AS1	chr7	140695336	140697077
NDUFV2-AS1	chr18	9121265	9136645
NEAT1	chr11	65422774	65445540
NEBL-AS1	chr10	21174014	21175048
NECTIN1-AS1	chr11	119709920	119713925
NECTIN3-AS1	chr3	110888384	111071553
NEGR1-IT1	chr1	71794232	71837012
NEURL1-AS1	chr10	103479603	103517393
NEUROG2-AS1	chr4	112515385	112546881
NEXN-AS1	chr1	77881348	77889539
NFIA-AS1	chr1	61248945	61253510
NFIA-AS2	chr1	60912675	61056885
NFYC-AS1	chr1	40690380	40692066
NGF-AS1	chr1	115283034	115368072
NHS-AS1	chrX	17552349	17557387
NIFK-AS1	chr2	121649320	121728563
NINJ2-AS1	chr12	630858	664196
NIPBL-DT	chr5	36864425	36876700
NKAIN3-IT1	chr8	62977861	62984900
NKILA	chr20	57710156	57712780
NKX2-1-AS1	chr14	36519278	36523016
NKX2-2-AS1	chr20	21511447	21512309
NLGN1-AS1	chr3	173910498	173920796
NLGN4Y-AS1	chrY	14793642	14804033
NMBR-AS1	chr6	142088233	142089219
NNT-AS1	chr5	43571594	43603230
NOL4L-DT	chr20	32564992	32608893
NOP14-AS1	chr4	2934882	2961738
NOP53-AS1	chr19	47757036	47768840
NORAD	chr20	36045618	36051018
NPAS2-AS1	chr2	100970767	100977766
NPHP3-AS1	chr3	132721750	132874223
NPSR1-AS1	chr7	34346512	34871582
NPTN-IT1	chr15	73567012	73569294
NQO2-AS1	chr6	2989335	2999604
NR2F1-AS1	chr5	93360779	93585649
NR2F2-AS1	chr15	96110040	96327361
NR4A1AS	chr12	52058459	52059503
NRAD1	chr13	43908669	44030461
NRAV	chr12	120488079	120495946
NREP-AS1	chr5	111912508	112017309
NRG1-IT1	chr8	32026210	32139495
NRG1-IT3	chr8	32440704	32448803
NRG3-AS1	chr10	82228985	82232920
NRIR	chr2	6819463	6840464
NRSN2-AS1	chr20	316860	348490
NRXN2-AS1	chr11	64646399	64659681
NSMCE1-DT	chr16	27268205	27290492
NTM-AS1	chr11	131622451	131663583
NTM-IT	chr11	132284302	132285081
NTRK3-AS1	chr15	88252730	88271066
NUCB1-AS1	chr19	48910930	48918891
NUP50-DT	chr22	45133020	45163781
NUTM2A-AS1	chr10	87201647	87342612
NUTM2B-AS1	chr10	79661394	79826594
NXT1-AS1	chr20	23346941	23351486
OBI1-AS1	chr13	77919689	78617328
OBSCN-AS1	chr1	228203503	228213664
OCIAD1-AS1	chr4	48852008	48860203
ODC1-DT	chr2	10448689	10457693
ODF2-AS1	chr9	128468957	128473012
OGFR-AS1	chr20	62800627	62805587
OGFRP1	chr22	42269703	42279534
OIP5-AS1	chr15	41283990	41309737
OLMALINC	chr10	100373099	100454043
OOEP-AS1	chr6	73369704	73387717
OPA1-AS1	chr3	193618609	193627337
OPCML-IT1	chr11	133360029	133366080
OPCML-IT2	chr11	132859245	132860077
OR2A1-AS1	chr7	144300395	144356181
OR7E11P	chr11	67735600	67784229
OSBPL10-AS1	chr3	31704058	31721652
OSER1-DT	chr20	44210907	44226027
OSGEPL1-AS1	chr2	189762704	189765556
OSMR-AS1	chr5	38682581	38845829
OSTM1-AS1	chr6	108123457	108159392
OSTN-AS1	chr3	191213291	191234605
OTUD6B-AS1	chr8	91059318	91070583
OTX2-AS1	chr14	56813183	57152177
OVAAL	chr1	180509380	180566523
OVCH1-AS1	chr12	29389289	29487488
OVOL1-AS1	chr11	65789051	65790868
OXCT1-AS1	chr5	41869927	41872241
P3H2-AS1	chr3	190120964	190145107
P4HA2-AS1	chr5	132184876	132192808
P4HA3-AS1	chr11	74311362	74324705
PABPC1L2B-AS1	chrX	72998388	73002856
PABPC4-AS1	chr1	39565052	39573860
PABPC5-AS1	chrX	91414878	91434999
PACERR	chr1	186680622	186681446
PACRG-AS1	chr6	163306907	163324530
PACRG-AS2	chr6	163042557	163054161
PACRG-AS3	chr6	163163830	163192038
PAN3-AS1	chr13	28136843	28138193
PANCR	chr4	110595513	110615458
PANDAR	chr6	36673621	36675126
PANTR1	chr2	104794848	104853183
PAPPA-AS1	chr9	116398157	116400606
PAPPA-AS2	chr9	116285829	116288769
PAQR9-AS1	chr3	142960650	143001559
PARAL1	chr20	9986088	10007116
PARD3-AS1	chr10	34815767	34816386
PARD6G-AS1	chr18	80147924	80179839
PART1	chr5	60487713	60548813
PARTICL	chr2	85537462	85538666
PAUPAR	chr11	31812307	32002405
PAX8-AS1	chr2	113211421	113276581
PAXBP1-AS1	chr21	32728097	32747065
PAXIP1-AS1	chr7	155003448	155005703
PAXIP1-AS2	chr7	154928460	154952188
PCA3	chr9	76691980	76863307
PCAT1	chr8	126556323	127419050
PCAT14	chr22	23536881	23547797
PCAT18	chr18	26687621	26703638
PCAT19	chr19	41449520	41501223
PCAT4	chr4	79827471	79877770
PCAT5	chr10	35778302	35800920
PCAT6	chr1	202810954	202812156
PCAT7	chr9	94555054	94603990
PCBP1-AS1	chr2	69962263	70103220
PCBP2-OT1	chr12	53464468	53465057
PCCA-AS1	chr13	100464440	100481205
PCCA-DT	chr13	100053074	100088950
PCDH9-AS1	chr13	66303871	66323561
